Periodo;AbreviaEmpresa;IdInterrupcion;NroInterrupcion;UUNN;EE;TipoMed;NaturalezaInterrupcion;ResponsabilidadInterrupcion;ResponsableInterrupcion;PropiedadDeLaInstCausante;CausaInterrupcion;SolicitoFM;IniciaTramiteFM;EstadoFM;Motivo;TipoProgramada;ClasificacionMotivo;Submotivo;SaidiUUNN;Cumple;Fecha
202205;ENOSA;3324362;70080867;Talara;I130206;Seccion de Linea o Alimentador;Programado,Expansion O Reforzamiento;Distribucion;Propia;Propia;Por Expansion o reforzamiento de redes;1;1;Procede;Interrupcion por Expansion y Reforzamiento;Programada por expansion;Interno;Exonerado de comp. Exp. o Ref. redes Transmision;0.140823602;0;31/05/2022
202205;ENOSA;3324377;200027096;Bajo Piura;I170087;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Contacto de red con arbol;0;0;Sin Tramite;Falla;NULL;Interno;Contacto de Red con arbol;0.006293501;0;31/05/2022
202205;ENOSA;3324695;200027107;Bajo Piura;I170087;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Contacto de red con arbol;0;0;Sin Tramite;Falla;NULL;Interno;Contacto de Red con arbol;0.005982174;0;31/05/2022
202205;ENOSA;3324995;120034257;Alto Piura;I140477;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Animales (Felinos y Roedores);0;0;Sin Tramite;Falla;NULL;Interno;Animales (Felinos y/o roedores);0.013823146;0;31/05/2022
202205;ENOSA;3325399;150096683;Sullana;A1525  ;Alimentador Media Tension;No Programado, Accion De Terceros;Distribucion;Terceros;Propia;Aves;1;1;Procede;Otros y/o terceros;NULL;Interno;Aves;0.000005714;0;31/05/2022
202205;ENOSA;3325406;150096684;Sullana;A1016  ;Alimentador Media Tension;No Programado, Falla;Distribucion;Propia;Propia;Ajuste inadecuado de la proteccion;0;0;Sin Tramite;Falla;NULL;Interno;De coordinacion de proteccion;0.002830937;0;31/05/2022
202205;ENOSA;3325592;10230940;Piura;E101183;Subestacion de Distribucion;No Programado, Operacion;Distribucion;Propia;Propia;Corte de emergencia (No incluidos en PM y PE);0;0;Sin Tramite;Por maniobra sin aviso, corta;NULL;Interno;Seguridad;0.000195936;0;31/05/2022
202205;ENOSA;3325597;10230945;Piura;I140181;Seccion de Linea o Alimentador;No Programado, Accion De Terceros;Distribucion;Terceros;Propia;Aves;1;1;Procede;Otros y/o terceros;NULL;Interno;Aves;0.00001554;0;31/05/2022
202205;ENOSA;3325731;70080870;Talara;A1304  ;Alimentador Media Tension;No Programado, Accion De Terceros;Distribucion;Terceros;Propia;Impacto vehicular;1;1;Procede;Otros y/o terceros;NULL;Interno;Colision de vehiculo contra retenida  ;0.121770129;0;31/05/2022
202205;ENOSA;3325782;150096694;Sullana;I150963;Seccion de Linea o Alimentador;No Programado, Falla;Distribucion;Propia;Propia;Falla equipo (transformador,interruptor, seccionador de potencia etc);0;0;Sin Tramite;Falla;NULL;Interno;Averia en equipo de proteccion - Cut Out;0.000095408;0;31/05/2022
